column_name,valid_count,embedding_dim,file_size_mb
bidntceno,1000,768,5.859375
ntcekindnm,1000,768,5.859375
refno,1000,768,5.859375
bidntcenm,1000,768,5.859375
ntceinsttcd,1000,768,5.859375
ntceinsttnm,1000,768,5.859375
ntceinsttofclnm,999,768,5.859375
ntceinsttofcltelno,996,768,5.859375
ntceinsttofclemailadrs,999,768,5.859375
exctvnm,1000,768,5.859375
ntcespecdocurl1,959,768,5.859375
ntcespecdocurl2,516,768,5.859375
ntcespecdocurl3,271,768,5.859375
ntcespecdocurl4,101,768,5.859375
ntcespecdocurl5,44,768,5.859375
ntcespecdocurl6,19,768,5.859375
ntcespecdocurl7,13,768,5.859375
ntcespecdocurl8,5,768,5.859375
ntcespecdocurl9,3,768,5.859375
ntcespecdocurl10,1,768,5.859375
ntcespecfilenm1,959,768,5.859375
ntcespecfilenm2,516,768,5.859375
ntcespecfilenm3,271,768,5.859375
ntcespecfilenm4,101,768,5.859375
ntcespecfilenm5,44,768,5.859375
ntcespecfilenm6,19,768,5.859375
ntcespecfilenm7,13,768,5.859375
ntcespecfilenm8,5,768,5.859375
ntcespecfilenm9,3,768,5.859375
ntcespecfilenm10,1,768,5.859375
opengplce,1000,768,5.859375
dcmtgoprtnplce,34,768,5.859375
bidntcedtlurl,1000,768,5.859375
crdtrnm,992,768,5.859375
untyntceno,1000,768,5.859375
stdntcedocurl,1000,768,5.859375
orderplanuntyno,530,768,5.859375
bfspecrgstno,23,768,5.859375
dminsttofclemailadrs,519,768,5.859375
chgntcersn,88,768,5.859375
bssamtpurcnstcst,33,768,5.859375
fnlsucsfcorpnm,769,768,5.859375
fnlsucsfcorpceonm,769,768,5.859375
fnlsucsfcorpbizrno,836,768,5.859375
fnlsucsfcorpadrs,769,768,5.859375
fnlsucsfcorpcontacttel,752,768,5.859375
